"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","19.359","18.537","1.044"
"RAM","Gouraud","20.158","17.698","1.139"
"RAM","Point","84.444","57.143","1.478"
"RAM","Bilinear","165","137.5","1.2"
"RAM","Depth","173","144.167","1.2"
"RAM","Alpha","207.5","175","1.186"
"RAM","Read","4.658","4.665","0.999"
"RAM","Write","5.034","5.06","0.995"
