"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","42.778","19.359","2.21"
"RAM","Gouraud","23.438","20.132","1.164"
"RAM","Point","87.222","84.444","1.033"
"RAM","Bilinear","167","164","1.018"
"RAM","Depth","175","171.2","1.022"
"RAM","Alpha","209.75","206.25","1.017"
"RAM","Read","4.658","4.658","1"
"RAM","Write","5.067","5.033","1.007"
"VRAM","Small","43.611","20.27","2.151"
"VRAM","Gouraud","25.862","22.879","1.13"
"VRAM","Point","118.571","115.714","1.025"
"VRAM","Bilinear","283.333","283.667","0.999"
"VRAM","Depth","323.333","320.333","1.009"
"VRAM","Alpha","387","385","1.005"
"VRAM","Read","62.692","62.5","1.003"
"VRAM","Write","9.679","9.679","1"
