"Location","Workload","BaselineMs","CandidateMs","Speedup"
"RAM","Small","42.778","19.359","2.21"
"RAM","Gouraud","23.438","20.158","1.163"
"RAM","Point","87.333","84","1.04"
"RAM","Bilinear","168","165","1.018"
"RAM","Depth","176","173","1.017"
"RAM","Alpha","211","207.5","1.017"
"RAM","Read","4.658","4.658","1"
"RAM","Write","5.04","5.06","0.996"
